route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,date
FLIXBUS:076,FLIXBUS,FlixBus,München - Mailand,,3,,,,2017-02-13
FLIXBUS:079,FLIXBUS,FlixBus,Dortmund - Paris,,3,,,,2017-02-13
FLIXBUS:080,FLIXBUS,FlixBus,Dortmund - London,,3,,,,2017-02-13
FLIXBUS:081,FLIXBUS,FlixBus,Berlin - Dortmund - Brüssel,,3,,,,2017-02-13
FLIXBUS:082,FLIXBUS,FlixBus,Kassel - EF- Prag,,3,,,,2017-02-13
FLIXBUS:083,FLIXBUS,FlixBus,München - Prag,,3,,,,2017-02-13
FLIXBUS:084,FLIXBUS,FlixBus,Essen - Nürnberg - Prag,,3,,,,2017-02-13
FLIXBUS:085,FLIXBUS,FlixBus,Hamburg - Karlsruhe,,3,,,,2017-02-13
FLIXBUS:086,FLIXBUS,FlixBus,München (✈) - Salzburg,,3,,,,2017-02-13
FLIXBUS:087,FLIXBUS,FlixBus,München- Bielefeld - Hamburg,,3,,,,2017-02-13
FLIXBUS:090,FLIXBUS,FlixBus,Frankfurt - Paris,,3,,,,2017-02-13
FLIXBUS:091,FLIXBUS,FlixBus,Budapest - M - Paris,,3,,,,2017-02-13
FLIXBUS:095,FLIXBUS,FlixBus,München - Meran,,3,,,,2017-02-13
FLIXBUS:096,FLIXBUS,FlixBus,Graz - Wien,,3,,,,2017-02-13
FLIXBUS:098,FLIXBUS,FlixBus,Mainz - Kiel,,3,,,,2017-02-13
FLIXBUS:099,FLIXBUS,FlixBus,Zürich - Paris,,3,,,,2017-02-13
FLIXBUS:101,FLIXBUS,FlixBus,München - Tübingen - Freiburg,,3,,,,2017-02-13
FLIXBUS:105,FLIXBUS,FlixBus,Leipzig - HH - Oldenburg,,3,,,,2017-02-13
FLIXBUS:106,FLIXBUS,FlixBus,München - Annecy,,3,,,,2017-02-13
FLIXBUS:107,FLIXBUS,FlixBus,Frankfurt - ZÜ- Mailand,,3,,,,2017-02-13
FLIXBUS:108,FLIXBUS,FlixBus,Frankfurt - Basel Euroairport - Zürich,,3,,,,2017-02-13
FLIXBUS:109,FLIXBUS,FlixBus,LU-Mannheim-Nürnberg,,3,,,,2017-02-13
